kohde;jasen;pvknro;sp;ASALUE;IKAL1;A1;A2;A3;A4;A5
50002;1;2;1;1.0;6;190;450;13;2.0;1.0
50002;2;2;2;1.0;6;235;480;52;1.0;1.0
50009;1;2;2;1.0;7;175;460;104;1.0;1.0
50011;1;2;2;3.0;4;180;460;0;1.0;1.0
50012;1;1;2;1.0;8;0;600;10;2.0;2.0
50015;1;1;1;3.0;8;0;480;310;2.0;1.0
50015;2;1;2;3.0;8;0;520;40;2.0;1.0
50022;1;1;2;1.0;6;480;570;0;2.0;1.0
50024;1;2;1;1.0;4;340;490;0;2.0;1.0
50030;1;2;1;2.0;6;0;570;91;1.0;1.0
50030;2;2;2;2.0;6;0;680;104;2.0;1.0
50035;1;2;1;1.0;4;00:00;09:20;00:00;2.0;1.0
50035;2;2;2;1.0;4;00:00;09:30;00:00;2.0;1.0
50051;1;2;1;1.0;4;370;450;0;1.0;1.0
50051;2;2;2;1.0;4;205;540;0;1.0;1.0
50058;1;1;2;1.0;4;420;360;140;1.0;1.0
50078;1;2;1;1.0;3;0;450;0;1.0;2.0
50078;2;2;2;1.0;3;0;490;0;1.0;1.0
50080;1;1;1;2.0;6;0;350;30;2.0;1.0
50083;1;1;1;1.0;8;0;540;0;2.0;1.0
50083;2;1;2;1.0;8;0;480;110;2.0;1.0
50093;1;1;2;1.0;9;0;570;120;2.0;2.0
50093;2;1;1;1.0;9;0;470;250;2.0;2.0
50095;1;1;2;3.0;6;?;510;70;2.0;1.0
50095;2;1;1;3.0;6;530;450;20;?;?
50097;1;1;1;1.0;6;0;420;30;1.0;2.0
50101;1;1;1;1.0;6;0;610;0;1.0;1.0
50101;2;1;2;1.0;6;0;470;60;2.0;2.0
50102;1;1;1;1.0;4;450;470;0;0.0;180.0
50103;1;1;2;3.0;8;00:00;06:20;02:20;2.0;1.0
50103;2;1;1;3.0;9;00:00;09:40;02:20;2.0;2.0
50118;1;1;2;1.0;7;0;620;150;1.0;1.0
50119;2;2;1;1.0;6;215;500;52;2.0;1.0
50121;2;1;2;1.0;5;0;?;0;1.0;1.0
50124;1;1;1;2.0;6;0;470;20;1.0;1.0
50124;2;1;2;2.0;6;0;550;60;1.0;1.0
50125;1;2;2;1.0;6;0;470;78;1.0;1.0
50126;1;1;2;3.0;3;0;630;40;1.0;1.0
50140;1;1;1;1.0;5;00:00;09:00;00:00;1.0;1.0
50140;2;1;2;1.0;5;00:00;11:00;00:00;1.0;1.0
50142;1;1;2;2.0;8;0;630;140;2.0;1.0
50142;2;1;1;2.0;8;0;670;40;?;?
50145;1;1;1;2.0;7;0;520;50;2.0;2.0
50145;2;1;2;2.0;5;0;500;30;2.0;1.0
50147;1;1;2;1.0;5;0;590;30;1.0;1.0
50147;2;1;1;1.0;5;0;630;20;1.0;1.0
50148;1;1;2;1.0;8;0;300;30;2.0;2.0
50150;1;1;1;1.0;8;0;470;110;2.0;1.0
50150;2;1;2;1.0;7;0;450;180;2.0;1.0
50161;1;2;2;3.0;7;0;530;91;2.0;1.0
50161;2;2;1;3.0;8;125;480;52;2.0;2.0
50162;1;1;1;2.0;6;0;520;0;60.0;0.0
50162;2;1;2;2.0;6;0;630;30;180.0;0.0
50163;1;2;2;1.0;6;0;490;39;1.0;1.0
50163;2;2;1;1.0;7;225;630;78;?;?
50165;1;2;1;1.0;8;00:00;09:30;01:05;1.0;1.0
50165;2;2;2;1.0;8;00:00;08:10;01:18;1.0;1.0
50168;1;1;2;1.0;6;07:00;07:40;00:30;1.0;1.0
50175;1;1;2;1.0;6;460;430;20;1.0;1.0
50175;2;1;1;1.0;6;680;420;30;1.0;1.0
50176;1;2;2;1.0;6;0;430;0;1.0;2.0
50176;2;2;1;1.0;7;0;390;13;1.0;2.0
50177;2;2;1;3.0;7;305;400;0;2.0;1.0
50178;1;2;2;2.0;6;0;460;130;1.0;1.0
50182;1;1;2;3.0;8;0;630;10;2.0;2.0
50185;1;2;2;1.0;8;0;270;182;2.0;1.0
50186;1;1;1;1.0;6;0;640;40;1.0;2.0
50188;1;2;2;2.0;6;0;510;0;2.0;1.0
50188;2;2;1;2.0;6;360;240;0;2.0;2.0
50194;1;1;2;3.0;5;0;590;20;2.0;1.0
50196;1;1;2;1.0;8;0;580;60;2.0;1.0
50204;1;1;1;1.0;6;30;490;100;2.0;1.0
50204;2;1;2;1.0;6;0;600;200;1.0;1.0
50205;1;1;2;1.0;5;0;490;270;1.0;1.0
50209;1;2;1;1.0;8;0;550;104;1.0;1.0
50209;2;2;2;1.0;8;0;600;78;1.0;1.0
50210;1;2;1;1.0;4;150;660;0;1.0;1.0
50214;1;2;1;1.0;6;280;400;0;1.0;1.0
50214;2;2;2;1.0;5;255;430;0;1.0;1.0
50215;1;1;2;1.0;4;440;550;0;1.0;1.0
50215;2;1;1;1.0;5;?;420;20;1.0;1.0
50218;1;2;1;1.0;6;0;600;117;2.0;1.0
50218;2;2;2;1.0;9;0;530;0;?;?
50222;1;1;2;1.0;6;0;480;0;2.0;2.0
50227;1;1;2;1.0;8;0;500;230;1.0;1.0
50228;1;1;2;2.0;7;00:00;08:40;00:20;2.0;2.0
50228;2;1;1;2.0;7;00:00;09:00;00:20;2.0;2.0
50232;2;2;2;1.0;6;0;520;117;1.0;1.0
50234;1;1;2;1.0;7;0;590;140;1.0;1.0
50237;1;2;1;3.0;7;0;580;65;2.0;2.0
50237;2;2;2;3.0;6;230;520;143;2.0;2.0
50238;1;1;2;3.0;9;0;510;140;2.0;2.0
50238;2;1;1;3.0;9;0;510;150;2.0;2.0
50239;1;1;1;1.0;8;00:00;06:10;09:00;2.0;1.0
50239;2;1;2;1.0;7;00:00;08:30;00:10;2.0;1.0
50241;1;2;1;3.0;9;0;520;156;2.0;2.0
50242;1;2;1;1.0;7;0;470;52;2.0;1.0
50242;2;2;2;1.0;7;0;410;377;2.0;1.0
50243;2;1;1;1.0;6;0;550;0;1.0;1.0
50247;1;2;1;3.0;6;220;470;65;2.0;1.0
50247;2;2;2;3.0;6;0;660;143;2.0;1.0
50250;1;1;1;2.0;5;0;410;50;2.0;1.0
50250;2;1;2;2.0;5;0;390;60;1.0;1.0
50251;1;2;2;1.0;5;180;470;0;1.0;1.0
50256;1;1;1;2.0;7;450;340;60;2.0;1.0
50258;2;1;1;1.0;7;0;540;0;2.0;2.0
50259;1;1;1;1.0;8;250;240;190;2.0;1.0
50264;1;1;2;1.0;7;0;470;40;2.0;2.0
50264;2;1;1;1.0;6;430;430;10;2.0;2.0
50265;1;2;1;1.0;3;0;570;0;0.0;0.0
50270;1;1;2;3.0;4;240;500;0;1.0;1.0
50270;2;1;2;3.0;7;0;490;70;1.0;1.0
50271;1;1;2;3.0;8;0;500;210;2.0;2.0
50271;2;1;1;3.0;9;0;430;250;2.0;1.0
50272;1;2;1;1.0;7;145;310;39;2.0;1.0
50272;2;2;2;1.0;6;15;580;130;2.0;1.0
50277;1;2;1;1.0;4;0;480;39;2.0;2.0
50277;2;2;2;1.0;4;0;400;26;2.0;2.0
50278;1;1;2;3.0;6;0;550;0;1.0;1.0
50278;2;1;1;3.0;6;0;580;0;1.0;2.0
50285;1;1;2;1.0;7;370;420;40;1.0;1.0
50285;2;1;1;1.0;6;390;530;0;1.0;2.0
50293;1;2;2;2.0;6;0;470;26;1.0;1.0
50295;1;2;2;1.0;8;0;500;130;1.0;1.0
50295;2;2;1;1.0;8;0;500;117;1.0;1.0
50302;1;1;2;1.0;8;0;600;50;1.0;2.0
50302;2;1;1;1.0;8;0;600;40;2.0;2.0
50303;1;2;1;1.0;3;00:00;11:40;00:00;1.0;1.0
50307;1;2;2;1.0;9;0;540;117;2.0;1.0
50316;1;1;2;3.0;3;0;670;0;1.0;1.0
50316;2;1;1;3.0;4;0;700;0;1.0;1.0
50328;1;2;2;1.0;6;0;600;286;1.0;1.0
